Name,Key,Value,Key2,value2,key3,value3,link
Foodstuff,shop,greengrocer,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer
Sells Phone accessories & charges phone,shop,mobile_phone,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmobile_phone
Cocoa merchant/ trader,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cocoa shop,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cocoa Trader,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Yam tuber shop,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Chairs and Tables rentals business,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Charcoal business,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Pap business(Eko not Ogi),shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Phone charging shop with drink sale,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
general Merchandise,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Pepper seller,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
veterinary,amenity,veterinary,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dveterinary
Generator repairer shop,shop,repair,repair,generator,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Drepair
Generator repair,shop,repair,repair,generator,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Drepair
Aluminium fabrication shop,landuse,industrial,industrial,aluminium_smelting,,,https://wiki.openstreetmap.org/wiki/Cs:Tag:industrial%3Daluminium_smelting
Clothes weaving,craft,weaver,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dweaver
POS SHOP,shop,point_of_sale,,,,,https://wiki.openstreetmap.org/wiki/Key:shop#Supplementary_tags_for_shop=*
Phone charging/POS,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Phone charging,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Palm oil store,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Kolanut store,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Gas shop,shop,gas,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgas
Fish shop,shop,seafood,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dseafood
Dried/Stock fish shop,shop,seafood,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dseafood
Farm produce store,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Drink shop,shop,beverages,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeverages
Cocoa/kolanut store,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cocoa store,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cloth shop,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cement shop,shop,trade,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Cocoa store house,shop,trade,trade,agricultural_supplies,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Piggery,building,sty,,,,,https://wiki.openstreetmap.org/wiki/Tag:building%3Dsty
Community security office,office,security,,,,,https://wiki.openstreetmap.org/wiki/Tag:office%3Dsecurity
Firewood,shop,fireplace,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfireplace
Fire wood place,shop,fireplace,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfireplace
reservoir,landuse,reservoir,,,,,https://wiki.openstreetmap.org/wiki/Tag:landuse%3Dreservoir
Fruit sales,shop,greengrocer,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer
Block industry,industrial,brickyard,,,,,https://wiki.openstreetmap.org/wiki/Tag:industrial%3Dbrickyard
Laundry services,shop,laundry,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dlaundry
Religious items,shop,religion,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dreligion
Bicycle repairer,shop,bicycle,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbicycle
Boutique,shop,clothes,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dclothes
Mini Test Lab,healthcare,laboratory,,,,,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dlaboratory
Village square,place,square,,,,,https://wiki.openstreetmap.org/wiki/Tag:place%3Dsquare
Maize processing,craft,grinding_mill,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dgrinding_mill
islamic school,amenity,school,religion,islamic,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool
Mat weaving,craft,basket_weaver,,,,,https://wiki.openstreetmap.org/wiki/Tag%3Acraft%3Dbasket_maker
For simcard registration,mobile_phone:sales,no,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmobile_phone
Building materials,shop,hardware,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhardware 
Food vendor,amenity,restaurant,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant
Firewire stake,shop,fuel,fuel:firewood,yes,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuel 
Firewood,shop,fuel,fuel:firewood,yes,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuel 
Leather works,craft,leathre,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dleather 
potter,craft,pottery,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dpottery
Borehole repairer,shop,repair,repair,borehole,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Drepair
Solar plant,power,generator,generator:source,solar,,,https://wiki.openstreetmap.org/wiki/Tag:power%3Dgenerator
Police station,amenity,police,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpolice
Cosmetics shop,shop,cosmetic,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcosmetics
fuel shop,shop,fuel,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuel
fuel shop,shop,fuel,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuel
tea shop (mai shai),amenity,cafe,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcafe
Beverages,shop,beverages,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeverages
health center / clinic,healthcare,clinic,,,,,https://wiki.openstreetmap.org/wiki/Tag%3Ahealthcare%3Dclinic
Public toilet,amenity,toilet,,,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtoilets
